Edition,Country,City,Sport,Discipline,Athlete,Team,NOC,Gender,Event,Event_gender,Medal
1896,Greece,Athens,Aquatics,Swimming,"HAJOS, Alfred",Hungary,HUN,Men,100m freestyle,M,Gold
1896,Greece,Athens,Aquatics,Swimming,"HAJOS, Alfred",Hungary,HUN,Men,1200m freestyle,M,Gold
1896,Greece,Athens,Athletics,Athletics,"SZOKOLYI, Alajos",Hungary,HUN,Men,100m,M,Bronze
1896,Greece,Athens,Athletics,Athletics,"DANI, Nandor",Hungary,HUN,Men,800m,M,Silver
1896,Greece,Athens,Athletics,Athletics,"KELLNER, Gyula",Hungary,HUN,Men,marathon,M,Bronze
1896,Greece,Athens,Tennis,Tennis,"TAPAVICZA, Momcsillo",Hungary,HUN,Men,singles,M,Bronze
2004,Greece,Athens,Aquatics,Swimming,"GYURTA, Daniel",Hungary,HUN,Men,200m breaststroke,M,Silver
2004,Greece,Athens,Aquatics,Swimming,"CSEH, Laszlo",Hungary,HUN,Men,400m individual medley,M,Bronze
2004,Greece,Athens,Aquatics,Water polo,"BENEDEK, Tibor",Hungary,HUN,Men,water polo,M,Gold
2004,Greece,Athens,Aquatics,Water polo,"BIROS, Peter",Hungary,HUN,Men,water polo,M,Gold
2004,Greece,Athens,Aquatics,Water polo,"FODOR, Rajmund",Hungary,HUN,Men,water polo,M,Gold
2004,Greece,Athens,Aquatics,Water polo,"GERGELY, Istvan",Hungary,HUN,Men,water polo,M,Gold
2004,Greece,Athens,Aquatics,Water polo,"KASAS, Tamas",Hungary,HUN,Men,water polo,M,Gold
2004,Greece,Athens,Aquatics,Water polo,"KISS, Gergely",Hungary,HUN,Men,water polo,M,Gold
2004,Greece,Athens,Aquatics,Water polo,"MADARAS, Norbert",Hungary,HUN,Men,water polo,M,Gold
2004,Greece,Athens,Aquatics,Water polo,"MOLNAR, Tamas",Hungary,HUN,Men,water polo,M,Gold
2004,Greece,Athens,Aquatics,Water polo,"STEINMETZ, Adam",Hungary,HUN,Men,water polo,M,Gold
2004,Greece,Athens,Aquatics,Water polo,"STEINMETZ, Barnabas",Hungary,HUN,Men,water polo,M,Gold
2004,Greece,Athens,Aquatics,Water polo,"SZECSI, Zoltan",Hungary,HUN,Men,water polo,M,Gold
2004,Greece,Athens,Aquatics,Water polo,"VARGA, Tamas",Hungary,HUN,Men,water polo,M,Gold
2004,Greece,Athens,Aquatics,Water polo,"VARI, Attila",Hungary,HUN,Men,water polo,M,Gold
2004,Greece,Athens,Athletics,Athletics,"KOVAGO, Zoltan",Hungary,HUN,Men,discus throw,M,Silver
2004,Greece,Athens,Canoe / Kayak,Canoe / Kayak F,"VAJDA, Attila",Hungary,HUN,Men,C-1 1000m (canoe single),M,Bronze
2004,Greece,Athens,Canoe / Kayak,Canoe / Kayak F,"KOLONICS, Gyorgy",Hungary,HUN,Men,C-2 1000m (canoe double),M,Bronze
2004,Greece,Athens,Canoe / Kayak,Canoe / Kayak F,"KOZMANN, Gyorgy",Hungary,HUN,Men,C-2 1000m (canoe double),M,Bronze
2004,Greece,Athens,Canoe / Kayak,Canoe / Kayak F,"JANIC, Natasa",Hungary,HUN,Women,K-1 500m (kayak single),W,Gold
2004,Greece,Athens,Canoe / Kayak,Canoe / Kayak F,"JANIC, Natasa",Hungary,HUN,Women,K-2 500m (kayak double),W,Gold
2004,Greece,Athens,Canoe / Kayak,Canoe / Kayak F,"KOVACS, Katalin",Hungary,HUN,Women,K-2 500m (kayak double),W,Gold
2004,Greece,Athens,Canoe / Kayak,Canoe / Kayak F,"HORVATH, Gabor",Hungary,HUN,Men,K-4 1000m (kayak four),M,Gold
2004,Greece,Athens,Canoe / Kayak,Canoe / Kayak F,"KAMMERER, Zoltan",Hungary,HUN,Men,K-4 1000m (kayak four),M,Gold
2004,Greece,Athens,Canoe / Kayak,Canoe / Kayak F,"STORCZ, Botond",Hungary,HUN,Men,K-4 1000m (kayak four),M,Gold
2004,Greece,Athens,Canoe / Kayak,Canoe / Kayak F,"VERECKEI, Akos",Hungary,HUN,Men,K-4 1000m (kayak four),M,Gold
2004,Greece,Athens,Canoe / Kayak,Canoe / Kayak F,"BOTA, Kinga",Hungary,HUN,Women,K-4 500m (kayak four),W,Silver
2004,Greece,Athens,Canoe / Kayak,Canoe / Kayak F,"KOVACS, Katalin",Hungary,HUN,Women,K-4 500m (kayak four),W,Silver
2004,Greece,Athens,Canoe / Kayak,Canoe / Kayak F,"SZABO, Szilvia",Hungary,HUN,Women,K-4 500m (kayak four),W,Silver
2004,Greece,Athens,Canoe / Kayak,Canoe / Kayak F,"VISKI, Erzsebet",Hungary,HUN,Women,K-4 500m (kayak four),W,Silver
2004,Greece,Athens,Fencing,Fencing,"NAGY, Timea",Hungary,HUN,Women,épée individual,W,Gold
2004,Greece,Athens,Fencing,Fencing,"BOCZKO, Gabor",Hungary,HUN,Men,épée team,M,Silver
2004,Greece,Athens,Fencing,Fencing,"IMRE, Geza",Hungary,HUN,Men,épée team,M,Silver
2004,Greece,Athens,Fencing,Fencing,"KOVACS, Ivan",Hungary,HUN,Men,épée team,M,Silver
2004,Greece,Athens,Fencing,Fencing,"KULCSAR, Krisztian",Hungary,HUN,Men,épée team,M,Silver
2004,Greece,Athens,Fencing,Fencing,"NEMCSIK, Zsolt",Hungary,HUN,Men,sabre individual,M,Silver
2004,Greece,Athens,Modern Pentathlon,Modern Pentath.,"VOROS, Zsuzsanna",Hungary,HUN,Women,Individual competition,W,Gold
2004,Greece,Athens,Shooting,Shooting,"IGALY, Diana",Hungary,HUN,Women,skeet (75 targets),W,Gold
2004,Greece,Athens,Weightlifting,Weightlifting,"KRUTZLER, Eszter",Hungary,HUN,Women,69kg,W,Silver
2004,Greece,Athens,Wrestling,Wrestling Gre-R,"MAJOROS, Istvan",Hungary,HUN,Men,- 55kg,M,Gold
1900,France,Paris,Aquatics,Swimming,"HALMAY, Zoltan",Hungary,HUN,Men,1500m freestyle,M,Bronze
1900,France,Paris,Aquatics,Swimming,"HALMAY, Zoltan",Hungary,HUN,Men,200m freestyle,M,Silver
1900,France,Paris,Aquatics,Swimming,"HALMAY, Zoltan",Hungary,HUN,Men,4000m freestyle,M,Silver
1900,France,Paris,Athletics,Athletics,"BAUER, Rudolf",Hungary,HUN,Men,discus throw,M,Gold
1900,France,Paris,Athletics,Athletics,"GÖNCZY, Lajos",Hungary,HUN,Men,high jump,M,Bronze
1924,France,Paris,Aquatics,Swimming,"BARTHA, István",Hungary,HUN,Men,100m backstroke,M,Bronze
1924,France,Paris,Athletics,Athletics,"SOMFAY, Elemer",Hungary,HUN,Men,pentathlon,M,Silver
1924,France,Paris,Fencing,Fencing,"BERTI, Laszlo",Hungary,HUN,Men,foil team,M,Bronze
1924,France,Paris,Fencing,Fencing,"LICHTENECKERT, Istvan",Hungary,HUN,Men,foil team,M,Bronze
1924,France,Paris,Fencing,Fencing,"POSTA, Sandor",Hungary,HUN,Men,foil team,M,Bronze
1924,France,Paris,Fencing,Fencing,"SCHENKER, Zoltan",Hungary,HUN,Men,foil team,M,Bronze
1924,France,Paris,Fencing,Fencing,"TERSZTYANSZKY, Ödön",Hungary,HUN,Men,foil team,M,Bronze
1924,France,Paris,Fencing,Fencing,"GARAY, Janos",Hungary,HUN,Men,sabre individual,M,Bronze
1924,France,Paris,Fencing,Fencing,"POSTA, Sandor",Hungary,HUN,Men,sabre individual,M,Gold
1924,France,Paris,Fencing,Fencing,"BERTI, Laszlo",Hungary,HUN,Men,sabre team,M,Silver
1924,France,Paris,Fencing,Fencing,"GARAY, Janos",Hungary,HUN,Men,sabre team,M,Silver
1924,France,Paris,Fencing,Fencing,"POSTA, Sandor",Hungary,HUN,Men,sabre team,M,Silver
1924,France,Paris,Fencing,Fencing,"RADY, Jozsef",Hungary,HUN,Men,sabre team,M,Silver
1924,France,Paris,Fencing,Fencing,"SCHENKER, Zoltan",Hungary,HUN,Men,sabre team,M,Silver
1924,France,Paris,Fencing,Fencing,"SZECHY, Laszlo",Hungary,HUN,Men,sabre team,M,Silver
1924,France,Paris,Fencing,Fencing,"TERSZTYANSZKY, Ödön",Hungary,HUN,Men,sabre team,M,Silver
1924,France,Paris,Fencing,Fencing,"UHLYARIK, Jenö",Hungary,HUN,Men,sabre team,M,Silver
1924,France,Paris,Shooting,Shooting,"HALASY, Gyula",Hungary,HUN,Men,trap (125 targets),M,Gold
1924,France,Paris,Wrestling,Wrestling Gre-R,"BADO, Rajmund",Hungary,HUN,Men,+ 82.5kg (super heavyweight),M,Bronze
1924,France,Paris,Wrestling,Wrestling Gre-R,"KERESZTES, Lajos",Hungary,HUN,Men,62 - 67.5kg (lightweight),M,Silver
1908,United Kingdom,London,Aquatics,Swimming,"HALMAY, Zoltan",Hungary,HUN,Men,100m freestyle,M,Silver
1908,United Kingdom,London,Aquatics,Swimming,"HALMAY, Zoltan",Hungary,HUN,Men,4x200m freestyle relay,M,Silver
1908,United Kingdom,London,Aquatics,Swimming,"LAS TORRES, Béla",Hungary,HUN,Men,4x200m freestyle relay,M,Silver
1908,United Kingdom,London,Aquatics,Swimming,"MUNK, Jozsef",Hungary,HUN,Men,4x200m freestyle relay,M,Silver
1908,United Kingdom,London,Aquatics,Swimming,"ZACHAR, Imre",Hungary,HUN,Men,4x200m freestyle relay,M,Silver
1908,United Kingdom,London,Athletics,Athletics,"BODOR, Ödön",Hungary,HUN,Men,4x400m relay,M,Bronze
1908,United Kingdom,London,Athletics,Athletics,"NAGY, Jozsef",Hungary,HUN,Men,4x400m relay,M,Bronze
1908,United Kingdom,London,Athletics,Athletics,"RACZ, G.",Hungary,HUN,Men,4x400m relay,M,Bronze
1908,United Kingdom,London,Athletics,Athletics,"SIMON, Pal",Hungary,HUN,Men,4x400m relay,M,Bronze
1908,United Kingdom,London,Athletics,Athletics,"SOMODY, Istvan",Hungary,HUN,Men,high jump,M,Silver
1908,United Kingdom,London,Fencing,Fencing,"FUCHS, Jenö",Hungary,HUN,Men,sabre individual,M,Gold
1908,United Kingdom,London,Fencing,Fencing,"ZULAWSKY, Béla",Hungary,HUN,Men,sabre individual,M,Silver
1908,United Kingdom,London,Fencing,Fencing,"FUCHS, Jenö",Hungary,HUN,Men,sabre team,M,Gold
1908,United Kingdom,London,Fencing,Fencing,"GERDE, Oskar",Hungary,HUN,Men,sabre team,M,Gold
1908,United Kingdom,London,Fencing,Fencing,"TOTH, Peter",Hungary,HUN,Men,sabre team,M,Gold
1908,United Kingdom,London,Fencing,Fencing,"WERKNER, Lajos",Hungary,HUN,Men,sabre team,M,Gold
1908,United Kingdom,London,Rowing,Rowing,"LEVICZKY, Károly",Hungary,HUN,Men,single sculls (1x),M,Bronze
1908,United Kingdom,London,Wrestling,Wrestling Gre-R,"WEISZ, Richard",Hungary,HUN,Men,+ 93kg (super heavyweight),M,Gold
1948,United Kingdom,London,Aquatics,Swimming,"KADAS, Geza",Hungary,HUN,Men,100m freestyle,M,Bronze
1948,United Kingdom,London,Aquatics,Swimming,"MITRO, György",Hungary,HUN,Men,1500m freestyle,M,Bronze
1948,United Kingdom,London,Aquatics,Swimming,"NOVAK-GERARD, Eva",Hungary,HUN,Women,200m breaststroke,W,Bronze
1948,United Kingdom,London,Aquatics,Swimming,"KADAS, Geza",Hungary,HUN,Men,4x200m freestyle relay,M,Silver
1948,United Kingdom,London,Aquatics,Swimming,"MITRO, György",Hungary,HUN,Men,4x200m freestyle relay,M,Silver
1948,United Kingdom,London,Aquatics,Swimming,"NYEKI, Imre",Hungary,HUN,Men,4x200m freestyle relay,M,Silver
1948,United Kingdom,London,Aquatics,Swimming,"SZATMARI, Elemer",Hungary,HUN,Men,4x200m freestyle relay,M,Silver
1948,United Kingdom,London,Aquatics,Water polo,"BRANDI, Jenö",Hungary,HUN,Men,water polo,M,Silver
1948,United Kingdom,London,Aquatics,Water polo,"CSUVIK, Oszkar",Hungary,HUN,Men,water polo,M,Silver
1948,United Kingdom,London,Aquatics,Water polo,"FABIAN, Dezsö",Hungary,HUN,Men,water polo,M,Silver
1948,United Kingdom,London,Aquatics,Water polo,"GYARMATI, Dezso",Hungary,HUN,Men,water polo,M,Silver
1948,United Kingdom,London,Aquatics,Water polo,"GYORFFI, Endre",Hungary,HUN,Men,water polo,M,Silver
1948,United Kingdom,London,Aquatics,Water polo,"HOLOP, Miklos",Hungary,HUN,Men,water polo,M,Silver
1948,United Kingdom,London,Aquatics,Water polo,"JENEI, Laszlo",Hungary,HUN,Men,water polo,M,Silver
1948,United Kingdom,London,Aquatics,Water polo,"LEMHENYI, DezsÃ¶",Hungary,HUN,Men,water polo,M,Silver
1948,United Kingdom,London,Aquatics,Water polo,"SZITTYA, Karoly",Hungary,HUN,Men,water polo,M,Silver
1948,United Kingdom,London,Aquatics,Water polo,"SZIVOS, Istvan",Hungary,HUN,Men,water polo,M,Silver
1948,United Kingdom,London,Athletics,Athletics,"NEMETH, Imre",Hungary,HUN,Men,hammer throw,M,Gold
1948,United Kingdom,London,Athletics,Athletics,"VARSZEGI, Jozsef",Hungary,HUN,Men,javelin throw,M,Bronze
1948,United Kingdom,London,Athletics,Athletics,"GYARMATI, Olga",Hungary,HUN,Women,long jump,W,Gold
1948,United Kingdom,London,Boxing,Boxing,"CSIK, Tibor",Hungary,HUN,Men,51 - 54kg (bantamweight),M,Gold
